barcode	approach	platform	ref
BC01	Meta	Nanopore	USUV
BC02	Meta	Nanopore	USUV
BC03	Meta	Nanopore	USUV
BC04	Meta	Nanopore	WNV
BC05	Meta	Nanopore	WNV
BC06	Meta	Nanopore	WNV
BC07	Meta	Nanopore	YFV
BC08	Meta	Nanopore	YFV
BC09	Meta	Nanopore	YFV
BC10	Meta	Nanopore	ZIKV
BC11	Meta	Nanopore	ZIKV
BC12	Meta	Nanopore	ZIKV
BC01	Amplicon	Nanopore	USUV
BC02	Amplicon	Nanopore	USUV
BC03	Amplicon	Nanopore	USUV
BC04	Amplicon	Nanopore	WNV
BC05	Amplicon	Nanopore	WNV
BC06	Amplicon	Nanopore	WNV
BC07	Amplicon	Nanopore	YFV
BC08	Amplicon	Nanopore	YFV
BC09	Amplicon	Nanopore	YFV
BC10	Amplicon	Nanopore	ZIKV
BC11	Amplicon	Nanopore	ZIKV
BC12	Amplicon	Nanopore	ZIKV
BC01	Meta	Illumina	USUV
BC02	Meta	Illumina	USUV
BC03	Meta	Illumina	USUV
BC04	Meta	Illumina	WNV
BC05	Meta	Illumina	WNV
BC06	Meta	Illumina	WNV
BC07	Meta	Illumina	YFV
BC08	Meta	Illumina	YFV
BC09	Meta	Illumina	YFV
BC10	Meta	Illumina	ZIKV
BC11	Meta	Illumina	ZIKV
BC12	Meta	Illumina	ZIKV
BC01	Amplicon	Illumina	USUV
BC02	Amplicon	Illumina	USUV
BC03	Amplicon	Illumina	USUV
BC04	Amplicon	Illumina	WNV
BC05	Amplicon	Illumina	WNV
BC06	Amplicon	Illumina	WNV
BC07	Amplicon	Illumina	YFV
BC08	Amplicon	Illumina	YFV
BC09	Amplicon	Illumina	YFV
BC10	Amplicon	Illumina	ZIKV
BC11	Amplicon	Illumina	ZIKV
BC12	Amplicon	Illumina	ZIKV
BC01	Virocap	Illumina	USUV
BC02	Virocap	Illumina	USUV
BC03	Virocap	Illumina	USUV
BC04	Virocap	Illumina	WNV
BC05	Virocap	Illumina	WNV
BC06	Virocap	Illumina	WNV
BC07	Virocap	Illumina	YFV
BC08	Virocap	Illumina	YFV
BC09	Virocap	Illumina	YFV
BC10	Virocap	Illumina	ZIKV
BC11	Virocap	Illumina	ZIKV
BC12	Virocap	Illumina	ZIKV
